Temperature,Water Level,Ammonia,Water pH,Battery Status,Battery Level
0,error,undetermined,0,battery disabled,100%
0,error,undetermined,0,battery disabled,100%
0,error,undetermined,0,battery disabled,100%
0,error,undetermined,0,battery disabled,100%
0,error,undetermined,0,battery disabled,100%
0,error,undetermined,0,battery disabled,100%
0,error,undetermined,0,battery disabled,100%
0,error,undetermined,0,battery disabled,100%
0,error,undetermined,0,battery disabled,100%
0,error,undetermined,0,battery disabled,100%
